person,gender,pref,wild,model,score
1,Female,none,False,d,1
1,Female,none,False,a,2
1,Female,none,False,r,3
2,Female,none,True,a,1
2,Female,none,True,d,3
2,Female,none,True,r,2
3,Female,none,False,d,1
3,Female,none,False,a,2
3,Female,none,False,r,3
4,Female,none,True,r,1
4,Female,none,True,d,2
4,Female,none,True,a,3
5,Female,none,False,r,3
5,Female,none,False,a,1
5,Female,none,False,d,2
6,Female,none,True,r,1
6,Female,none,True,a,3
6,Female,none,True,d,2
7,Female,none,False,a,1
7,Female,none,False,r,3
7,Female,none,False,d,2
8,Female,none,True,a,3
8,Female,none,True,d,2
8,Female,none,True,r,1
9,Female,none,False,r,3
9,Female,none,False,a,2
9,Female,none,False,d,1
10,Female,none,True,a,3
10,Female,none,True,d,2
10,Female,none,True,r,1
11,Female,none,False,r,3
11,Female,none,False,d,1
11,Female,none,False,a,2
12,Female,none,True,a,2
12,Female,none,True,r,1
12,Female,none,True,d,3
13,Female,none,False,r,3
13,Female,none,False,d,1
13,Female,none,False,a,2
14,Female,none,True,r,2
14,Female,none,True,a,3
14,Female,none,True,d,1
15,Female,none,False,r,3
15,Female,none,False,a,1
15,Female,none,False,d,2
16,Female,none,True,a,3
16,Female,none,True,d,2
16,Female,none,True,r,1
17,Female,none,False,d,1
17,Female,none,False,r,3
17,Female,none,False,a,2
18,Female,none,True,a,3
18,Female,none,True,r,2
18,Female,none,True,d,1
19,Female,none,False,d,1
19,Female,none,False,r,3
19,Female,none,False,a,2
20,Female,none,True,d,3
20,Female,none,True,r,2
20,Female,none,True,a,1
21,Female,none,False,a,1
21,Female,none,False,r,3
21,Female,none,False,d,2
22,Female,none,True,r,1
22,Female,none,True,a,3
22,Female,none,True,d,2
23,Female,none,False,a,1
23,Female,none,False,r,3
23,Female,none,False,d,2
24,Female,none,True,r,2
24,Female,none,True,d,1
24,Female,none,True,a,3
25,Female,none,False,a,3
25,Female,none,False,r,2
25,Female,none,False,d,1
26,Female,none,True,r,2
26,Female,none,True,a,3
26,Female,none,True,d,1
27,Female,none,False,d,2
27,Female,none,False,r,3
27,Female,none,False,a,1
28,Female,none,True,d,1
28,Female,none,True,r,2
28,Female,none,True,a,3
29,Female,none,False,r,3
29,Female,none,False,d,2
29,Female,none,False,a,1
30,Female,none,True,r,2
30,Female,none,True,a,1
30,Female,none,True,d,3
31,Female,none,False,d,2
31,Female,none,False,a,1
31,Female,none,False,r,3
32,Female,none,True,a,3
32,Female,none,True,d,1
32,Female,none,True,r,2
33,Female,none,False,d,1
33,Female,none,False,a,2
